Material;125 Hz;250 Hz;500 Hz;1 kHz;2 kHz;4 kHz;8 kHz
Walls,hard surfaces average (brick walls, plaster, hard floors, etc.);0.02;0.02;0.03;0.03;0.04;0.05
Rough concrete;0.02;0.03;0.03;0.03;0.04;0.07
Smooth unpainted concrete;0.01;0.01;0.02;0.02;0.02;0.05
Ceramic tiles with a smooth surface;0.01;0.01;0.01;0.02;0.02;0.02
Concrete floor;0.01;0.03;0.05;0.02;0.02;0.02
Marble floor;0.01;0.01;0.01;0.02;0.02;0.02
Wooden lining, 12 mm fixed on frame;0.27;0.23;0.22;0.15;0.10;0.07
Single pane of glass, 3 mm;0.08;0.04;0.03;0.03;0.02;0.02
Glass window, 0.68 kg/m2;0.10;0.05;0.04;0.03;0.03;0.03
Double glazing, 2–3 mm glass,> 30 mm gap;0.15;0.05;0.03;0.03;0.02;0.02
Double glazing, 2–3 mm glass, 10 mm gap;0.10;0.07;0.05;0.03;0.02;0.02
Thin plywood panelling;0.42;0.21;0.10;0.08;0.06;0.06
Solid wooden door;0.14;0.10;0.06;0.08;0.10;0.10
Linoleum, asphalt, rubber, or cork tile on concrete;0.02;0.03;0.03;0.03;0.03;0.02
Cotton carpet;0.07;0.31;0.49;0.81;0.66;0.54
Thin carpet, cemented to concrete;0.02;0.04;0.08;0.20;0.35;0.40
10 mm soft carpet on concrete;0.09;0.08;0.21;0.26;0.27;0.37
5 mm rubber carpet on concrete;0.04;0.04;0.08;0.12;0.10;0.10
Cotton curtains (0.5 kg/m2) draped to 3/4 area approx. 130 mm from wall;0.30;0.45;0.65;0.56;0.59;0.71
Curtains (0.2 kg/m2) hung 90 mm from wall;0.05;0.06;0.39;0.63;0.70;0.73
Cotton cloth (0.33 kg/m2) folded to 7/8 area;0.03;0.12;0.15;0.27;0.37;0.42
Densely woven window curtains 90 mm from wall;0.06;0.10;0.38;0.63;0.70;0.73
Vertical blinds, 15 cm from wall, half opened (45°);0.03;0.09;0.24;0.46;0.79;0.76
Vertical blinds, 15 cm from wall, open (90°);0.03;0.06;0.13;0.28;0.49;0.56
Tight velvet curtains;0.05;0.12;0.35;0.45;0.38;0.36
Curtain fabric, 15 cm from wall;0.10;0.38;0.63;0.52;0.55;0.65
Curtain fabric, folded, 15 cm from wall;0.12;0.60;0.98;1.0
holz;0.01;0.02;0.03
